dec	val	OUT	seg
0	0000	.	1101111
0	0001	.	0100100
0	0010	.	1011110
0	0011	.	1110110
0	0100	.	0110101
0	0101	.	1110011
0	0110	.	1111011
0	0111	.	0100110
0	1000	.	1111111
0	1001	.	1110111
0	1010	.	0111111
0	1011	.	1111001
0	1100	.	1001011
0	1101	.	1111100
0	1110	.	1011011
0	1111	.	0011011
1	0000	.	1101111
1	0001	.	0100100
1	0010	.	1011110
1	0011	.	1110110
1	0100	.	0110101
1	0101	.	1110011
1	0110	.	1111011
1	0111	.	0100110
1	1000	.	1111111
1	1001	.	1110111
1	1010	.	0010000
1	1011	.	0010000
1	1100	.	0010000
1	1101	.	0010000
1	1110	.	0010000
1	1111	.	0010000
